,poste,Location,date publication,delai,genre,lien_publication,Entreprise
104,Responsable recrutement , CASABLANCA (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-responsable-recrutement-recrutement-manpower-agences-casablanca-149325.html, 
105,Consultant SAP BW (H/F) , Casablanca (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-consultant-sap-bw-hf-recrutement-atos-casablanca-149324.html, atos casablanca 
106,Ingénieur Développement Java Angular Senior (H/F) , Casablanca (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-ingenieur-developpement-java-angular-senior-hf-recrutement-atos-casablanca-149323.html, atos casablanca 
107,Ingénieur Planificateur , Fès (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-ingenieur-planificateur-recrutement-alten-maroc-fes-149322.html, alten maroc fes 
108,Vigie Prod , Fés (Maroc)                                ,2023-04-13,2023-05-27,CDI,https://www.rekrute.com/offre-emploi-vigie-prod-recrutement-alten-maroc-fes-148521.html, alten maroc fes 
109,Directeur Régional Beni Mellal - Khenifra , Beni Mellal (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-directeur-regional-beni-mellal---khenifra-recrutement-confidentiel-beni-mellal-148253.html, confidentiel beni mellal 
110,Responsable Logistique et Stockage , Casablanca (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-responsable-logistique-et-stockage-recrutement-confidentiel-casablanca-148257.html, confidentiel casablanca 
111,Directeur Commercial , CASABLANCA (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-directeur-commercial-recrutement-confidentiel-casablanca-148258.html, confidentiel casablanca 
112,Directeur Régional , Casablanca (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-directeur-regional-recrutement-confidentiel-casablanca-148256.html, confidentiel casablanca 
113,Chargé paie et administration du personnel H/F , Casablanca (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-charge-paie-et-administration-du-personnel-hf-recrutement-confidentiel-casablanca-148254.html, confidentiel casablanca 
114,Cadre Juriste , Casablanca (Maroc)                                ,2023-04-13,2023-05-20,CDI,https://www.rekrute.com/offre-emploi-cadre-juriste-recrutement-confidentiel-casablanca-148252.html, confidentiel casablanca 
115,Responsable Paie H/F , Rabat (Maroc)                                ,2023-04-13,2023-06-13,CDI,https://www.rekrute.com/offre-emploi-responsable-paie-hf-recrutement-fondation-arrawaj-rabat-149314.html, fondation arrawaj rabat 
116,Formateur en développement Web , Safi (Maroc)                                ,2023-04-13,2023-05-21,CDI,https://www.rekrute.com/offre-emploi-formateur-en-developpement-web-recrutement-leet-initiative-safi-148317.html, leet initiative safi 
117,Formateur en développement Web , Youssoufia (Maroc)                                ,2023-04-13,2023-05-21,CDD,https://www.rekrute.com/offre-emploi-formateur-en-developpement-web-recrutement-leet-initiative-youssoufia-148318.html, leet initiative youssoufia 
