,poste,Location,date publication,delai,genre,lien_publication,Entreprise
51,Chargés(e) de Clientèle Franco Anglophone en Réception d’appels , Casablanca (Maroc)                                ,2023-06-06,2023-07-22,CDI,https://www.rekrute.com/offre-emploi-chargese-de-clientele-franco-anglophone-en-reception-dappels-recrutement-foundever-ex-sitel-group-casablanca-150805.html, foundever ex sitel group casablanca 
52,Conseiller technico-commercial - Opérateur Téléphonique Belge , Rabat (Maroc)                                ,2023-06-06,2023-07-30,CDI,https://www.rekrute.com/offre-emploi-conseiller-technico-commercial---operateur-telephonique-belge-recrutement-foundever-ex-sitel-group-rabat-151031.html, foundever ex sitel group rabat 
53,Chef de Projets Travaux (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-chef-de-projets-travaux-hf-recrutement-lydec-casablanca-151257.html, lydec casablanca 
54,Conseiller Clientèle en Réception d'Appels (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-conseiller-clientele-en-reception-dappels-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-151203.html, maroc climate and security mcs   carrier casablanca 
55,Ingénieur Réseau Sécurité (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-26,CDI,https://www.rekrute.com/offre-emploi-ingenieur-reseau-securite-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-150947.html, societe generale african business services   sg abs casablanca 
56,Expert Réseau (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-26,CDI,https://www.rekrute.com/offre-emploi-expert-reseau-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-150939.html, societe generale african business services   sg abs casablanca 
57,Chef de Projet Réseau et Sécurité (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-29,CDI,https://www.rekrute.com/offre-emploi-chef-de-projet-reseau-et-securite-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-151002.html, societe generale african business services   sg abs casablanca 
58,Développeur API Senior (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-29,CDI,https://www.rekrute.com/offre-emploi-developpeur-api-senior-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-150985.html, societe generale african business services   sg abs casablanca 
59,Pilote d'exploitation (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-29,CDI,https://www.rekrute.com/offre-emploi-pilote-dexploitation-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-150984.html, societe generale african business services   sg abs casablanca 
60,Gestionnaire de parc IT (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-29,CDI,https://www.rekrute.com/offre-emploi-gestionnaire-de-parc-it-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-150997.html, societe generale african business services   sg abs casablanca 
